Wall time,Step,Value
1587466815.605612,3485,14.0
1587466824.908345,3486,23.0
1587466836.876876,3487,32.0
1587466847.674691,3488,29.0
1587466856.506809,3489,19.0
1587466873.454466,3490,47.0
1587466887.864495,3491,40.0
1587466903.178486,3492,40.0
1587466915.709974,3493,30.0
1587466925.800315,3494,25.0
1587466938.6903,3495,32.0
1587466953.580598,3496,38.0
1587466965.031683,3497,27.0
1587466978.230044,3498,34.0
1587466992.332835,3499,34.0
1587467009.62641,3500,43.0
1587467021.189603,3501,28.0
1587467025.964957,3502,9.0
1587467034.581226,3503,21.0
1587467043.334093,3504,21.0
1587467057.589862,3505,37.0
1587467070.220215,3506,34.0
1587467080.818877,3507,26.0
1587467094.486957,3508,35.0
1587467103.627882,3509,21.0
1587467117.790851,3510,39.0
1587467129.609835,3511,30.0
1587467142.426027,3512,31.0
1587467157.246632,3513,41.0
1587467169.736504,3514,30.0
1587467180.701528,3515,28.0
1587467195.190475,3516,33.0
1587467210.448823,3517,38.0
1587467219.78301,3518,23.0
1587467233.947948,3519,42.0
1587467247.185265,3520,38.0
1587467258.246941,3521,28.0
1587467266.284686,3522,19.0
1587467278.368876,3523,31.0
1587467290.79182,3524,32.0
1587467303.503556,3525,33.0
1587467315.236084,3526,28.0
1587467326.370342,3527,29.0
1587467335.801411,3528,25.0
1587467347.436326,3529,28.0
1587467358.763467,3530,29.0
1587467370.476356,3531,33.0
1587467383.761089,3532,36.0
1587467398.327942,3533,33.0
1587467410.784722,3534,33.0
1587467422.579936,3535,31.0
1587467432.218809,3536,22.0
1587467446.693859,3537,38.0
1587467457.317584,3538,28.0
1587467474.11265,3539,48.0
1587467489.095928,3540,39.0
1587467496.865968,3541,19.0
1587467513.407756,3542,43.0
1587467523.521411,3543,23.0
1587467539.722793,3544,43.0
1587467549.991286,3545,27.0
1587467560.704532,3546,29.0
1587467571.242631,3547,29.0
1587467577.951781,3548,15.0
1587467588.517567,3549,24.0
1587467600.106959,3550,31.0
1587467605.168757,3551,10.0
1587467615.36431,3552,29.0
1587467625.627824,3553,27.0
1587467634.893888,3554,24.0
1587467644.494595,3555,23.0
1587467651.510448,3556,15.0
1587467663.95462,3557,33.0
1587467674.988122,3558,29.0
1587467687.498308,3559,35.0
1587467701.217324,3560,36.0
1587467712.713959,3561,31.0
1587467724.114512,3562,30.0
1587467733.051768,3563,23.0
1587467747.351187,3564,38.0
1587467762.249045,3565,39.0
1587467772.203524,3566,25.0
1587467783.700935,3567,30.0
1587467793.011794,3568,23.0
1587467805.777036,3569,35.0
1587467814.738283,3570,26.0
1587467824.552197,3571,25.0
1587467834.692729,3572,28.0
1587467845.309376,3573,27.0
1587467851.281439,3574,12.0
1587467864.558973,3575,35.0
1587467878.445034,3576,34.0
1587467891.508989,3577,37.0
1587467904.884487,3578,36.0
1587467917.528466,3579,35.0
1587467930.936309,3580,37.0
1587467942.275115,3581,32.0
1587467958.911429,3582,47.0
1587467964.944027,3583,13.0
1587467979.465583,3584,38.0
1587467992.216785,3585,39.0
1587467997.365932,3586,11.0
1587468008.328121,3587,27.0
1587468022.669783,3588,37.0
1587468034.675599,3589,33.0
1587468046.543934,3590,30.0
1587468054.527365,3591,20.0
1587468062.595552,3592,20.0
1587468075.5024,3593,34.0
1587468090.258118,3594,37.0
1587468101.42547,3595,29.0
1587468116.378267,3596,40.0
1587468129.917508,3597,39.0
1587468145.311496,3598,41.0
1587468154.88885,3599,24.0
1587468166.557384,3600,34.0
1587468182.802342,3601,47.0
1587468195.401712,3602,37.0
1587468208.41686,3603,33.0
1587468220.485743,3604,28.0
1587468237.795026,3605,46.0
1587468252.163179,3606,38.0
1587468266.340781,3607,37.0
1587468279.387957,3608,33.0
1587468294.812894,3609,43.0
1587468306.527976,3610,32.0
1587468323.544512,3611,46.0
1587468339.125598,3612,40.0
1587468354.207886,3613,39.0
1587468364.599197,3614,28.0
1587468375.880257,3615,29.0
1587468391.724895,3616,41.0
1587468403.531666,3617,29.0
1587468416.768842,3618,38.0
1587468425.816943,3619,24.0
1587468435.733093,3620,24.0
1587468446.656006,3621,30.0
1587468459.309958,3622,33.0
1587468469.13197,3623,30.0
1587468474.062411,3624,11.0
1587468488.800439,3625,40.0
1587468500.406244,3626,32.0
1587468510.436283,3627,23.0
1587468522.580646,3628,31.0
1587468535.313338,3629,32.0
1587468546.813538,3630,30.0
1587468560.692222,3631,38.0
1587468571.509207,3632,31.0
1587468586.58629,3633,41.0
1587468600.754623,3634,37.0
1587468612.744326,3635,31.0
1587468628.503815,3636,45.0
1587468641.005838,3637,37.0
1587468652.639798,3638,33.0
1587468665.772259,3639,34.0
1587468679.98413,3640,40.0
1587468692.818906,3641,35.0
1587468707.727201,3642,40.0
